time,claremont_count,innaloo,kelmscott_count,myaree_count,northbridge_count,oconnor_count,scarbs_count,shenton_count,vic_count
00:00:03 2021/02/08,5,4,2,,4,8,1,,3
00:10:05 2021/02/08,5,4,2,,4,8,1,,3
00:20:09 2021/02/08,5,4,2,,4,8,2,,3
00:30:11 2021/02/08,1,3,1,,1,3,1,,1
00:40:13 2021/02/08,1,3,,1,,3,1,,
00:50:16 2021/02/08,2,2,1,2,,3,1,,
01:00:20 2021/02/08,1,1,1,2,,2,1,,
01:10:22 2021/02/08,1,2,1,2,,1,,,2
01:20:24 2021/02/08,1,2,1,2,,1,,,2
01:30:27 2021/02/08,1,3,1,2,,1,,,2
01:40:30 2021/02/08,1,3,1,1,,1,,,2
01:50:32 2021/02/08,1,3,1,1,,1,,,2
02:00:35 2021/02/08,,3,,,,1,,,2
02:10:37 2021/02/08,,2,,,,1,,,2
02:20:40 2021/02/08,,1,,2,,1,,,1
02:30:43 2021/02/08,,1,,2,,1,,,1
02:40:46 2021/02/08,,1,,2,,1,,,1
02:50:48 2021/02/08,,1,,2,,,,,1
03:00:51 2021/02/08,,1,,2,,,,,1
03:10:54 2021/02/08,,2,1,2,,,,,1
03:20:56 2021/02/08,,2,2,2,,,,,2
03:30:59 2021/02/08,,2,2,,,1,,,1
03:41:02 2021/02/08,1,5,2,1,,2,1,,1
03:51:05 2021/02/08,3,4,2,1,1,2,1,,1
04:01:08 2021/02/08,3,5,2,1,1,2,3,,2
04:11:11 2021/02/08,4,5,4,2,2,2,3,,2
04:21:14 2021/02/08,4,4,6,6,4,2,3,,2
04:31:16 2021/02/08,6,5,5,7,4,2,4,,1
04:41:18 2021/02/08,7,7,6,7,7,2,5,,1
04:51:21 2021/02/08,8,10,6,6,7,3,6,,5
05:01:24 2021/02/08,8,14,6,8,7,6,8,,6
05:11:27 2021/02/08,12,23,7,13,9,9,10,,6
05:21:29 2021/02/08,15,34,4,15,11,13,12,,9
05:31:32 2021/02/08,19,44,3,13,10,18,18,,13
05:41:34 2021/02/08,27,52,6,22,16,25,23,,19
05:51:37 2021/02/08,32,62,11,27,15,26,27,,24
06:01:39 2021/02/08,46,67,18,29,17,29,38,5,30
06:11:41 2021/02/08,61,71,29,38,19,33,49,11,36
06:21:44 2021/02/08,67,77,28,37,25,30,50,11,43
06:31:47 2021/02/08,68,72,31,38,25,29,52,16,47
06:41:49 2021/02/08,67,72,30,42,27,25,49,21,48
06:51:52 2021/02/08,73,67,28,37,25,25,44,22,45
07:01:54 2021/02/08,69,62,23,36,29,29,40,26,49
07:11:57 2021/02/08,53,50,16,39,27,31,33,22,40
07:22:00 2021/02/08,40,46,10,34,25,25,21,18,33
07:32:02 2021/02/08,32,36,12,29,17,29,16,14,30
07:42:05 2021/02/08,29,30,13,22,12,29,19,10,28
07:52:07 2021/02/08,18,28,14,21,11,27,24,12,25
08:02:10 2021/02/08,21,32,15,19,5,21,32,8,20
08:12:13 2021/02/08,20,36,18,16,5,17,27,8,21
08:22:15 2021/02/08,23,33,16,15,5,18,27,8,23
08:32:18 2021/02/08,25,30,13,13,5,12,27,10,21
08:42:20 2021/02/08,28,36,12,18,6,15,22,9,22
08:52:23 2021/02/08,36,38,11,21,8,17,22,10,29
09:02:25 2021/02/08,40,34,16,27,13,22,19,9,30
09:12:27 2021/02/08,44,41,14,28,18,23,21,11,31
09:22:30 2021/02/08,45,48,13,27,20,22,22,11,28
09:32:33 2021/02/08,47,50,13,26,19,26,24,13,26
09:42:35 2021/02/08,45,53,13,28,20,27,25,15,30
09:52:38 2021/02/08,42,50,14,28,18,21,27,15,28
10:02:40 2021/02/08,46,47,11,30,18,23,22,17,26
10:12:43 2021/02/08,36,46,10,31,17,25,22,17,31
10:22:46 2021/02/08,34,43,13,30,14,27,27,17,35
10:32:48 2021/02/08,33,40,12,32,17,26,28,13,41
10:42:50 2021/02/08,28,38,11,27,16,24,28,11,37
10:52:53 2021/02/08,30,47,11,26,18,27,26,8,40
11:02:55 2021/02/08,26,45,10,25,17,21,23,8,38
11:12:58 2021/02/08,26,44,11,26,15,21,20,8,34
11:23:01 2021/02/08,25,42,11,25,15,26,22,9,30
11:33:03 2021/02/08,27,44,10,24,17,28,23,17,28
11:43:06 2021/02/08,31,41,10,27,16,29,23,17,29
11:53:09 2021/02/08,28,34,9,29,13,32,25,19,30
12:03:11 2021/02/08,26,40,10,29,14,31,24,17,30
12:13:14 2021/02/08,33,36,10,25,16,28,25,15,33
12:23:17 2021/02/08,32,37,10,29,19,27,20,15,34
12:33:20 2021/02/08,27,49,10,27,19,28,17,14,34
12:43:22 2021/02/08,26,57,11,26,20,31,15,11,35
12:53:25 2021/02/08,30,60,10,25,21,29,19,11,30
13:03:28 2021/02/08,29,56,10,24,21,30,21,16,31
13:13:31 2021/02/08,25,62,7,20,18,28,26,19,30
13:23:34 2021/02/08,24,67,5,17,18,23,24,17,25
13:33:36 2021/02/08,23,55,4,18,15,18,22,20,24
13:43:39 2021/02/08,25,46,3,22,14,13,26,19,24
13:53:42 2021/02/08,23,43,7,25,14,17,21,20,24
14:03:44 2021/02/08,26,45,6,29,13,17,23,19,21
14:13:47 2021/02/08,30,44,6,28,11,21,23,16,21
14:23:50 2021/02/08,27,38,7,28,7,20,32,18,21
14:33:53 2021/02/08,30,40,7,29,7,26,38,17,19
14:43:56 2021/02/08,29,48,8,32,10,34,35,17,17
14:53:59 2021/02/08,32,54,5,29,10,30,34,18,19
15:04:01 2021/02/08,33,55,5,30,10,32,33,15,23
15:14:04 2021/02/08,36,55,7,34,8,32,32,16,31
15:24:07 2021/02/08,40,62,9,42,11,35,29,16,34
15:34:09 2021/02/08,50,74,11,47,15,34,23,21,38
15:44:12 2021/02/08,59,79,13,43,15,35,29,20,45
15:54:15 2021/02/08,57,74,14,43,16,39,34,23,52
16:04:18 2021/02/08,61,74,21,47,16,38,34,25,52
16:14:20 2021/02/08,64,80,19,54,17,38,37,28,52
16:24:23 2021/02/08,65,86,23,51,20,43,33,28,49
16:34:26 2021/02/08,73,84,26,49,26,44,38,22,50
16:44:28 2021/02/08,68,81,27,55,24,51,39,24,59
16:54:31 2021/02/08,69,85,32,61,22,52,38,27,62
17:04:34 2021/02/08,68,96,30,66,23,61,38,21,68
17:14:37 2021/02/08,73,99,28,64,27,68,44,21,76
17:24:40 2021/02/08,72,93,27,67,25,65,47,24,80
17:34:43 2021/02/08,72,90,29,66,21,68,47,28,79
17:44:46 2021/02/08,68,88,27,64,21,68,52,35,77
17:54:48 2021/02/08,79,94,24,62,22,61,49,37,72
18:04:51 2021/02/08,74,99,25,62,26,55,51,38,70
18:14:54 2021/02/08,66,109,24,55,29,56,56,40,65
18:24:56 2021/02/08,74,102,23,48,31,53,53,34,64
18:34:59 2021/02/08,67,105,16,45,28,52,46,36,59
18:45:02 2021/02/08,64,104,14,45,31,48,42,34,60
18:55:04 2021/02/08,66,96,17,47,35,53,46,31,58
19:05:07 2021/02/08,74,87,15,46,32,56,45,32,63
19:15:10 2021/02/08,71,75,18,46,32,45,36,29,62
19:25:13 2021/02/08,59,68,16,52,26,43,41,32,53
